iter	Passed	Remaining
0	3	3899
1	8	4035
2	12	4059
3	16	4019
4	20	3993
5	25	4240
6	31	4406
7	36	4581
8	41	4537
9	45	4498
10	49	4450
11	53	4405
12	57	4372
13	61	4336
14	65	4300
15	69	4277
16	75	4345
17	80	4382
18	84	4350
19	88	4327
20	92	4304
21	96	4278
22	100	4278
23	103	4217
24	107	4191
25	111	4172
26	115	4152
27	119	4134
28	122	4117
29	126	4101
30	130	4084
31	134	4075
32	138	4064
33	142	4050
34	146	4037
35	150	4026
36	154	4015
37	158	4004
38	162	3994
39	166	3985
40	169	3975
41	174	3985
42	178	3976
43	182	3968
44	186	3958
45	190	3949
46	194	3940
47	198	3932
48	202	3923
49	206	3914
50	209	3905
51	213	3897
52	217	3889
53	221	3883
54	225	3877
55	229	3869
56	233	3861
57	237	3853
58	241	3846
59	244	3837
60	248	3829
61	252	3822
62	256	3813
63	260	3806
64	264	3799
65	268	3792
66	271	3786
67	275	3781
68	279	3776
69	283	3769
70	287	3767
71	291	3762
72	295	3755
73	299	3749
74	303	3743
75	307	3737
76	311	3731
77	315	3725
78	319	3719
79	322	3714
80	326	3708
81	330	3702
82	333	3687
83	337	3682
84	341	3677
85	345	3671
86	350	3676
87	355	3682
88	359	3676
89	363	3671
90	366	3665
91	370	3659
92	374	3653
93	378	3648
94	382	3643
95	386	3638
96	390	3632
97	394	3626
98	397	3620
99	401	3615
100	405	3609
101	409	3603
102	413	3598
103	417	3593
104	421	3591
105	425	3586
106	429	3581
107	432	3576
108	436	3571
109	440	3566
110	444	3561
111	448	3556
112	452	3551
113	456	3546
114	460	3546
115	464	3542
116	468	3537
117	472	3531
118	476	3527
119	480	3522
120	484	3517
121	488	3512
122	491	3507
123	495	3502
124	499	3497
125	503	3492
126	507	3488
127	511	3483
128	515	3479
129	519	3473
130	522	3468
131	527	3470
132	531	3466
133	535	3460
134	539	3455
135	543	3450
136	546	3443
137	550	3437
138	554	3432
139	558	3428
140	561	3423
141	565	3418
142	569	3413
143	572	3403
144	576	3399
145	580	3394
146	584	3389
147	587	3384
148	591	3379
149	595	3375
150	599	3371
151	603	3367
152	608	3366
153	612	3362
154	616	3361
155	620	3358
156	624	3354
157	628	3351
158	632	3346
159	636	3341
160	640	3337
161	644	3332
162	648	3327
163	651	3323
164	655	3318
165	659	3314
166	663	3310
167	667	3305
168	671	3300
169	675	3295
170	678	3291
171	682	3286
172	686	3281
173	693	3292
174	697	3289
175	703	3291
176	706	3286
177	710	3282
178	714	3278
179	718	3274
180	722	3269
181	726	3265
182	730	3260
183	734	3256
184	738	3251
185	741	3246
186	745	3242
187	749	3237
188	753	3233
189	757	3228
190	761	3224
191	765	3220
192	769	3215
193	772	3211
194	776	3206
195	780	3202
196	784	3197
197	788	3193
198	792	3188
199	796	3184
200	800	3180
201	803	3175
202	807	3171
203	811	3166
204	815	3162
205	819	3158
206	823	3153
207	827	3149
208	831	3145
209	835	3141
210	838	3136
211	842	3132
212	846	3128
213	850	3124
214	855	3122
215	860	3122
216	865	3123
217	871	3127
218	877	3128
219	883	3132
220	900	3173
221	904	3169
222	908	3165
223	912	3161
224	916	3158
225	920	3153
226	924	3148
227	928	3145
228	932	3140
229	936	3136
230	940	3131
231	944	3126
232	948	3122
233	952	3117
234	956	3112
235	960	3109
236	964	3104
237	968	3099
238	971	3094
239	976	3091
240	980	3086
241	984	3082
242	987	3077
243	992	3076
244	996	3072
245	1000	3067
246	1004	3062
247	1008	3058
248	1012	3053
249	1016	3048
250	1019	3043
251	1025	3043
252	1030	3043
253	1036	3045
254	1042	3045
255	1046	3042
256	1055	3051
257	1060	3050
258	1068	3056
259	1076	3064
260	1092	3093
261	1097	3091
262	1100	3084
263	1106	3085
264	1111	3082
265	1118	3085
266	1124	3086
267	1131	3090
268	1136	3088
269	1140	3084
270	1146	3083
271	1150	3079
272	1155	3076
273	1159	3073
274	1164	3071
275	1168	3066
276	1173	3061
277	1177	3059
278	1183	3057
279	1191	3064
280	1196	3062
281	1201	3058
282	1207	3058
283	1212	3056
284	1216	3053
285	1222	3051
286	1226	3047
287	1230	3042
288	1235	3038
289	1240	3037
290	1244	3032
291	1248	3027
292	1253	3025
293	1257	3020
294	1261	3015
295	1265	3010
296	1269	3005
297	1273	3000
298	1277	2995
299	1281	2991
300	1285	2986
301	1289	2980
302	1293	2975
303	1297	2971
304	1301	2966
305	1305	2960
306	1309	2955
307	1320	2967
308	1325	2964
309	1330	2960
310	1333	2955
311	1337	2950
312	1341	2945
313	1346	2942
314	1350	2937
315	1354	2932
316	1358	2927
317	1363	2923
318	1366	2918
319	1370	2913
320	1374	2908
321	1378	2903
322	1382	2898
323	1386	2893
324	1390	2888
325	1395	2885
326	1401	2883
327	1405	2879
328	1409	2874
329	1413	2870
330	1417	2865
331	1422	2861
332	1426	2856
333	1430	2851
334	1433	2846
335	1438	2842
336	1442	2837
337	1446	2832
338	1449	2827
339	1454	2824
340	1458	2819
341	1462	2813
342	1466	2808
343	1470	2803
344	1474	2798
345	1477	2793
346	1481	2788
347	1486	2785
348	1490	2780
349	1494	2775
350	1498	2770
351	1502	2765
352	1505	2760
353	1510	2755
354	1521	2764
355	1526	2760
356	1531	2759
357	1537	2757
358	1542	2754
359	1548	2752
360	1554	2751
361	1559	2747
362	1564	2744
363	1569	2742
364	1574	2739
365	1579	2736
366	1593	2748
367	1599	2747
368	1606	2747
369	1612	2744
370	1617	2742
371	1635	2761
372	1640	2757
373	1644	2753
374	1650	2750
375	1655	2746
376	1659	2742
377	1671	2749
378	1676	2746
379	1681	2743
380	1686	2739
381	1690	2734
382	1694	2729
383	1701	2729
384	1706	2726
385	1711	2721
386	1715	2717
387	1720	2713
388	1727	2713
389	1737	2717
390	1742	2714
391	1748	2712
392	1753	2708
393	1759	2706
394	1767	2706
395	1772	2703
396	1778	2700
397	1783	2698
398	1789	2695
399	1794	2691
400	1800	2689
401	1805	2685
402	1812	2685
403	1818	2682
404	1829	2687
405	1834	2683
406	1841	2683
407	1847	2680
408	1852	2676
409	1858	2674
410	1864	2672
411	1869	2667
412	1874	2664
413	1879	2659
414	1883	2655
415	1888	2650
416	1892	2645
417	1898	2643
418	1903	2639
419	1909	2636
420	1914	2633
421	1921	2631
422	1925	2626
423	1931	2623
424	1937	2620
425	1942	2616
426	1949	2616
427	1955	2613
428	1960	2609
429	1964	2604
430	1970	2602
431	1976	2598
432	1980	2593
433	1984	2588
434	1988	2583
435	1993	2578
436	2001	2578
437	2017	2588
438	2023	2585
439	2030	2584
440	2036	2581
441	2042	2579
442	2047	2574
443	2066	2587
444	2070	2582
445	2075	2577
446	2079	2572
447	2083	2566
448	2087	2561
449	2092	2557
450	2096	2551
451	2100	2546
452	2104	2540
453	2107	2535
454	2111	2529
455	2115	2524
456	2119	2518
457	2123	2513
458	2127	2507
459	2131	2502
460	2135	2496
461	2139	2491
462	2143	2486
463	2147	2480
464	2154	2479
465	2159	2474
466	2163	2469
467	2167	2463
468	2171	2458
469	2174	2452
470	2178	2447
471	2182	2441
472	2186	2436
473	2190	2431
474	2194	2425
475	2198	2420
476	2202	2415
477	2206	2409
478	2210	2404
479	2216	2400
480	2220	2395
481	2224	2390
482	2228	2385
483	2232	2380
484	2236	2374
485	2240	2369
486	2244	2364
487	2248	2358
488	2251	2353
489	2256	2348
490	2259	2342
491	2264	2338
492	2268	2332
493	2272	2327
494	2276	2322
495	2280	2317
496	2284	2312
497	2288	2307
498	2292	2301
499	2296	2296
500	2300	2291
501	2304	2286
502	2308	2280
503	2312	2275
504	2316	2270
505	2320	2265
506	2323	2259
507	2327	2254
508	2331	2249
509	2335	2243
510	2339	2238
511	2342	2233
512	2346	2227
513	2350	2222
514	2354	2217
515	2358	2212
516	2362	2206
517	2366	2201
518	2370	2196
519	2375	2192
520	2379	2187
521	2384	2183
522	2388	2177
523	2391	2172
524	2395	2167
525	2399	2162
526	2403	2157
527	2407	2152
528	2411	2147
529	2415	2141
530	2419	2136
531	2422	2131
532	2426	2126
533	2430	2121
534	2434	2115
535	2439	2111
536	2443	2106
537	2447	2101
538	2450	2096
539	2454	2090
540	2458	2085
541	2462	2080
542	2466	2075
543	2470	2070
544	2474	2065
545	2478	2060
546	2482	2055
547	2485	2050
548	2489	2045
549	2493	2040
550	2497	2035
551	2501	2030
552	2505	2024
553	2509	2019
554	2512	2014
555	2516	2009
556	2520	2004
557	2524	1999
558	2528	1994
559	2532	1989
560	2535	1984
561	2539	1979
562	2543	1974
563	2547	1969
564	2551	1964
565	2554	1959
566	2558	1954
567	2562	1949
568	2566	1944
569	2570	1939
570	2574	1933
571	2577	1928
572	2581	1923
573	2585	1919
574	2589	1914
575	2593	1909
576	2597	1904
577	2601	1899
578	2605	1894
579	2608	1889
580	2613	1884
581	2617	1880
582	2621	1875
583	2625	1870
584	2629	1865
585	2633	1860
586	2636	1855
587	2640	1850
588	2644	1845
589	2648	1840
590	2652	1835
591	2656	1830
592	2660	1826
593	2664	1821
594	2668	1816
595	2672	1811
596	2675	1806
597	2679	1801
598	2683	1796
599	2687	1791
600	2691	1786
601	2695	1781
602	2698	1776
603	2702	1771
604	2706	1767
605	2710	1762
606	2714	1757
607	2717	1752
608	2721	1747
609	2725	1742
610	2729	1737
611	2733	1733
612	2737	1728
613	2741	1723
614	2746	1719
615	2751	1715
616	2755	1710
617	2758	1705
618	2762	1700
619	2766	1695
620	2770	1690
621	2774	1686
622	2778	1681
623	2781	1676
624	2785	1671
625	2790	1666
626	2794	1662
627	2797	1657
628	2801	1652
629	2805	1647
630	2809	1642
631	2813	1638
632	2817	1633
633	2820	1628
634	2824	1623
635	2828	1618
636	2832	1614
637	2836	1609
638	2840	1604
639	2844	1599
640	2847	1595
641	2851	1590
642	2855	1585
643	2859	1580
644	2863	1575
645	2867	1571
646	2870	1566
647	2874	1561
648	2878	1556
649	2882	1552
650	2886	1547
651	2889	1542
652	2894	1538
653	2898	1533
654	2902	1528
655	2906	1523
656	2909	1519
657	2913	1514
658	2917	1509
659	2921	1504
660	2925	1500
661	2929	1495
662	2932	1490
663	2936	1486
664	2940	1481
665	2944	1476
666	2948	1471
667	2951	1467
668	2955	1462
669	2959	1457
670	2964	1453
671	2968	1448
672	2972	1444
673	2976	1439
674	2980	1434
675	2984	1430
676	2987	1425
677	2991	1420
678	2995	1416
679	2999	1411
680	3003	1406
681	3007	1402
682	3010	1397
683	3014	1392
684	3018	1388
685	3022	1383
686	3026	1378
687	3030	1374
688	3033	1369
689	3037	1364
690	3041	1360
691	3045	1355
692	3049	1350
693	3053	1346
694	3057	1341
695	3060	1336
696	3064	1332
697	3068	1327
698	3072	1323
699	3076	1318
700	3080	1313
701	3084	1309
702	3088	1304
703	3092	1300
704	3095	1295
705	3099	1290
706	3103	1286
707	3107	1281
708	3111	1276
709	3114	1272
710	3118	1267
711	3122	1263
712	3126	1258
713	3130	1253
714	3134	1249
715	3138	1245
716	3142	1240
717	3146	1235
718	3150	1231
719	3154	1226
720	3158	1222
721	3162	1217
722	3166	1213
723	3170	1208
724	3173	1203
725	3177	1199
726	3181	1194
727	3185	1190
728	3189	1185
729	3193	1181
730	3196	1176
731	3200	1171
732	3204	1167
733	3208	1162
734	3212	1158
735	3216	1153
736	3220	1149
737	3223	1144
738	3227	1139
739	3231	1135
740	3235	1130
741	3239	1126
742	3243	1121
743	3246	1117
744	3250	1112
745	3254	1108
746	3258	1103
747	3262	1099
748	3266	1094
749	3270	1090
750	3274	1085
751	3278	1081
752	3282	1076
753	3286	1072
754	3289	1067
755	3293	1063
756	3297	1058
757	3301	1054
758	3305	1049
759	3309	1045
760	3314	1041
761	3318	1036
762	3322	1032
763	3326	1027
764	3330	1023
765	3334	1018
