iter	RMSE
0	6234.182907
1	6082.002871
2	5932.586342
3	5779.883662
4	5634.725391
5	5497.285882
6	5366.678172
7	5242.83017
8	5114.375139
9	4989.690953
10	4870.175335
11	4756.232425
12	4643.195285
13	4529.918622
14	4420.394328
15	4315.180826
16	4212.913977
17	4120.218047
18	4031.829462
19	3939.057319
20	3850.335779
21	3758.80671
22	3674.168456
23	3592.414157
24	3513.940872
25	3439.162794
26	3368.488759
27	3293.572203
28	3228.914353
29	3163.728813
30	3098.151298
31	3039.624896
32	2978.939241
33	2923.294481
34	2867.919709
35	2815.139593
36	2760.736264
37	2710.035726
38	2657.938418
39	2609.080251
40	2561.066522
41	2513.215698
42	2470.42975
43	2430.060788
44	2386.865269
45	2345.912405
46	2305.157309
47	2267.814746
48	2230.388354
49	2194.694037
50	2161.458183
51	2128.871732
52	2097.10065
53	2069.289242
54	2041.447266
55	2013.634984
56	1986.244748
57	1962.607415
58	1936.708852
59	1911.149264
60	1887.033207
61	1863.664376
62	1840.449408
63	1818.37421
64	1797.598407
65	1776.447537
66	1755.178184
67	1738.087364
68	1719.638064
69	1702.05063
70	1685.78676
71	1669.614947
72	1654.121366
73	1639.469461
74	1624.719879
75	1610.321086
76	1596.570867
77	1583.138295
78	1569.726876
79	1556.005618
80	1544.602406
81	1531.997808
82	1521.207695
83	1509.29263
84	1497.868291
85	1486.078993
86	1476.441332
87	1465.834004
88	1456.381451
89	1447.842008
90	1438.080215
91	1429.831557
92	1420.783071
93	1412.358363
94	1404.472827
95	1396.794864
96	1390.278013
97	1382.295212
98	1375.972106
99	1369.285984
100	1362.943194
101	1356.254848
102	1350.002562
103	1343.861801
104	1336.782749
105	1331.016777
106	1325.042458
107	1319.875324
108	1314.535537
109	1309.839704
110	1303.750116
111	1299.309615
112	1293.843608
113	1289.400414
114	1285.053942
115	1281.398495
116	1276.338177
117	1271.848811
118	1267.936155
119	1264.689446
120	1261.63646
121	1257.774228
122	1254.546536
123	1250.097293
124	1246.323133
125	1243.41635
126	1239.895153
127	1236.896264
128	1234.186613
129	1230.789398
