iter	Passed	Remaining
0	52	52764
1	67	33643
2	71	23713
3	75	18886
4	80	15920
5	84	13929
6	87	12464
7	93	11563
8	110	12152
9	148	14676
10	152	13699
11	156	12917
12	160	12189
13	164	11583
14	168	11040
15	171	10577
16	175	10160
17	179	9788
18	183	9473
19	186	9160
20	190	8876
21	217	9674
22	221	9390
23	239	9733
24	243	9479
25	246	9241
26	250	9023
27	253	8813
28	257	8620
29	261	8441
30	264	8273
31	268	8115
32	271	7964
33	275	7822
34	278	7689
35	282	7565
36	286	7443
37	289	7327
38	292	7217
39	296	7115
40	300	7018
41	303	6921
42	307	6833
43	310	6749
44	314	6673
45	317	6594
46	321	6518
47	325	6446
48	329	6404
49	333	6337
50	337	6273
51	340	6210
52	345	6175
53	349	6126
54	353	6069
55	356	6016
56	362	5990
57	386	6279
58	390	6223
59	393	6168
60	397	6114
61	400	6065
62	404	6016
63	407	5965
64	411	5919
65	415	5873
66	418	5827
67	421	5783
68	425	5739
69	428	5697
70	433	5666
71	436	5626
72	440	5588
73	443	5550
74	446	5512
75	450	5477
76	454	5442
77	457	5407
78	460	5374
79	464	5342
80	468	5310
81	484	5427
82	490	5417
83	493	5384
84	497	5352
85	500	5321
86	504	5290
87	507	5260
88	511	5231
89	514	5202
90	517	5173
91	522	5158
92	526	5130
93	529	5104
94	532	5076
95	536	5051
96	540	5029
97	544	5008
98	547	4983
99	550	4958
100	554	4933
101	557	4910
102	561	4887
103	564	4864
104	567	4841
105	571	4821
106	575	4804
107	579	4782
108	584	4778
109	588	4759
110	591	4739
111	595	4718
112	598	4699
113	602	4680
114	605	4660
115	608	4640
116	612	4621
117	615	4602
118	619	4586
119	622	4567
120	626	4550
121	629	4531
122	633	4515
123	636	4499
124	640	4482
125	643	4465
126	647	4449
127	650	4433
128	654	4419
129	658	4404
130	661	4388
131	664	4372
132	668	4356
133	671	4341
134	675	4327
135	679	4313
136	682	4298
137	685	4283
138	689	4269
139	692	4255
140	696	4241
141	699	4227
142	702	4212
143	706	4198
144	709	4184
145	713	4173
146	716	4160
147	720	4147
148	723	4133
149	727	4120
150	730	4108
151	736	4109
152	740	4099
153	743	4086
154	747	4074
155	750	4062
156	754	4051
157	758	4039
158	761	4028
159	765	4016
160	768	4005
161	772	3993
162	775	3983
163	779	3971
164	782	3961
165	786	3950
166	789	3939
167	791	3920
168	795	3909
169	798	3900
170	802	3890
171	805	3879
172	809	3869
173	812	3859
174	816	3849
175	843	3950
176	847	3939
177	850	3928
178	854	3917
179	856	3899
180	859	3889
181	863	3879
182	866	3870
183	870	3860
184	874	3850
185	877	3840
186	881	3830
187	884	3820
188	887	3810
